code,severity,fixes
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"username95 = ""admin""",Low,username = get_username_from_config()
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"os.system(""ping "" + host)",High,"os.system(""ping "" + sanitize_input(host))"
"password = ""P@ssw0rd123""",Medium,password = get_password_from_env()
"os.system(""rm -rf "" + user_input67)",High,"os.system(""rm -rf "" + sanitize_input(user_input))"
"username76 = ""admin""",Low,username = get_username_from_config()
"cursor.execute(""SELECT * FROM users WHERE id="" + user_input9)",Critical,"cursor.execute(""SELECT * FROM users WHERE id=?"", (user_input,))"
"password = ""P@ssw0rd123""",Medium,password = get_password_from_env()
"os.system(""ping "" + host)",High,"os.system(""ping "" + sanitize_input(host))"
"os.system(""ping "" + host)",High,"os.system(""ping "" + sanitize_input(host))"
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"eval(""2 + 2"")",Critical,"eval_safe(""2 + 2"")"
"password = ""P@ssw0rd123""",Medium,password = get_password_from_env()
"user_input88 = input(""Enter username25: "")",High,"user_input = sanitize_input(input(""Enter username: ""))"
"eval(""2 + 2"")",Critical,"eval_safe(""2 + 2"")"
"user_input98 = input(""Enter username72: "")",High,"user_input = sanitize_input(input(""Enter username: ""))"
"password = ""P@ssw0rd123""",Medium,password = get_password_from_env()
"cursor.execute(""SELECT * FROM users WHERE id="" + user_input42)",Critical,"cursor.execute(""SELECT * FROM users WHERE id=?"", (user_input,))"
"username89 = ""admin""",Low,username = get_username_from_config()
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"username97 = ""admin""",Low,username = get_username_from_config()
"cursor.execute(""SELECT * FROM users WHERE id="" + user_input67)",Critical,"cursor.execute(""SELECT * FROM users WHERE id=?"", (user_input,))"
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"response = requests.get(""http://example.com"")",Low,"response = requests.get(""https://example.com"", verify=True)"
"username82 = ""admin""",Low,username = get_username_from_config()
"response = requests.get(""http://example.com"")",Low,"response = requests.get(""https://example.com"", verify=True)"
"username25 = ""admin""",Low,username = get_username_from_config()
"eval(""2 + 2"")",Critical,"eval_safe(""2 + 2"")"
"user_input21 = input(""Enter username53: "")",High,"user_input = sanitize_input(input(""Enter username: ""))"
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"response = requests.get(""http://example.com"")",Low,"response = requests.get(""https://example.com"", verify=True)"
"cursor.execute(""SELECT * FROM users WHERE id="" + user_input8)",Critical,"cursor.execute(""SELECT * FROM users WHERE id=?"", (user_input,))"
"password = ""P@ssw0rd123""",Medium,password = get_password_from_env()
"password = ""P@ssw0rd123""",Medium,password = get_password_from_env()
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"response = requests.get(""http://example.com"")",Low,"response = requests.get(""https://example.com"", verify=True)"
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"config = {""db_password"": ""password123""}",Medium,"config = {""db_password"": get_password_from_env()}"
"user_input92 = input(""Enter username59: "")",High,"user_input = sanitize_input(input(""Enter username: ""))"
"eval(""2 + 2"")",Critical,"eval_safe(""2 + 2"")"
"eval(""2 + 2"")",Critical,"eval_safe(""2 + 2"")"
"username24 = ""admin""",Low,username = get_username_from_config()
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"os.system(""rm -rf "" + user_input67)",High,"os.system(""rm -rf "" + sanitize_input(user_input))"
"cursor.execute(""SELECT * FROM users WHERE id="" + user_input87)",Critical,"cursor.execute(""SELECT * FROM users WHERE id=?"", (user_input,))"
"password = ""P@ssw0rd123""",Medium,password = get_password_from_env()
"username57 = ""admin""",Low,username = get_username_from_config()
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"username25 = ""admin""",Low,username = get_username_from_config()
"user_input22 = input(""Enter username73: "")",High,"user_input = sanitize_input(input(""Enter username: ""))"
"username81 = ""admin""",Low,username = get_username_from_config()
"cursor.execute(""SELECT * FROM users WHERE id="" + user_input63)",Critical,"cursor.execute(""SELECT * FROM users WHERE id=?"", (user_input,))"
"cursor.execute(""DELETE FROM accounts WHERE name='"" + name + ""'"")",Critical,"cursor.execute(""DELETE FROM accounts WHERE name=?"", (name,))"
"os.system(""rm -rf "" + user_input74)",High,"os.system(""rm -rf "" + sanitize_input(user_input))"
"user_input21 = input(""Enter username19: "")",High,"user_input = sanitize_input(input(""Enter username: ""))"
"user_input46 = input(""Enter username39: "")",High,"user_input = sanitize_input(input(""Enter username: ""))"
"os.system(""ping "" + host)",High,"os.system(""ping "" + sanitize_input(host))"
"eval(""2 + 2"")",Critical,"eval_safe(""2 + 2"")"
